,precision,recall,f1-score,support
Low Water Crops Suitable,1.0,1.0,1.0,2.0
Pulses Suitable,1.0,1.0,1.0,8.0
Rice Suitable,1.0,1.0,1.0,1.0
Sugarcane Suitable,1.0,1.0,1.0,10.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,21.0
weighted avg,1.0,1.0,1.0,21.0
