Generation,Best_Fitness
1,0.99
2,0.9925
3,0.9925
4,0.99375
5,0.99375
6,0.99375
7,0.99375
8,0.99375
9,0.995
10,0.995
11,0.995
12,0.995
13,0.995
14,0.99625
15,0.99625
16,0.99625
17,0.99625
18,0.99625
19,0.99625
20,0.99625
21,0.99625
22,0.99625
23,0.99625
24,0.99625
25,0.99625
26,0.99625
27,0.99625
28,0.99625
29,0.99625
30,0.99625
