Generation,Best_Fitness
1,0.98875
2,0.99
3,0.9925
4,0.9925
5,0.9925
6,0.9925
7,0.9925
8,0.9925
9,0.9925
10,0.9925
11,0.9925
12,0.9925
13,0.9925
14,0.99375
15,0.99375
16,0.99375
17,0.99375
18,0.99375
19,0.99375
20,0.99375
21,0.99375
22,0.99375
23,0.99375
24,0.99375
25,0.99375
26,0.99375
27,0.99375
28,0.99375
29,0.99375
30,0.99375
