Generation,Best_Fitness
1,0.9925
2,0.99375
3,0.99375
4,0.99375
5,0.99375
6,0.99375
7,0.99375
8,0.99375
9,0.99375
10,0.99375
11,0.99375
12,0.995
13,0.995
14,0.995
15,0.995
16,0.995
17,0.995
18,0.995
19,0.995
20,0.995
21,0.995
22,0.995
23,0.995
24,0.995
25,0.995
26,0.995
27,0.995
28,0.995
29,0.995
30,0.995
